"Dates","AAPL","AMZN","ABT","ADBE","AMGN","AEP","AFL","AIG","ALL","APD","ADM","AKAM"
"24-05-2016",97.9,704.2,37.98,99.63,152.72,63.63,34.775,57.7,67.44,132.4815,42.05,52.7
"25-05-2016",99.62,708.35,38.68,99.61,155.57,63.43,34.925,58.05,67.28,132.8328,42.48,52.86
"26-05-2016",100.41,714.91,38.89,99.37,155.55,64.33,34.59,57.75,67.51,132.2689,43.07,53.98
"27-05-2016",100.35,712.24,39.3,100.14,156.74,64.31,34.78,58.32,67.68,132.2596,43.23,54.2
"30-05-2016",100.35,712.24,39.3,100.14,156.74,64.31,34.78,58.32,67.68,132.2596,43.23,54.2
"31-05-2016",99.86,722.79,39.63,99.47,157.95,64.73,34.73,57.88,67.51,131.8713,42.77,54.58
"01-06-2016",98.46,719.44,39.5,100.04,158.05,64.89,34.705,57.74,67.44,133.1286,42.83,54.42
"02-06-2016",97.72,728.24,39.53,100.17,159.87,64.68,34.79,57.84,67.44,132.6664,43.47,54.9
"03-06-2016",97.92,725.54,39.18,98.7,159.19,65.81,34.56,57.26,67.43,132.4353,43.6,53.55
"06-06-2016",98.63,726.73,39.17,99.12,160.19,65.7,34.675,57.29,67.62,134.5709,43.67,54.53
"07-06-2016",99.03,723.74,38.93,98.52,158.89,65.84,34.655,57.06,67.43,134.2843,43.66,54.85
"08-06-2016",98.94,726.64,38.91,98.68,158,66.2,34.95,56.92,67.68,135.8005,43.82,54.92
"09-06-2016",99.65,727.65,38.87,98.07,156.78,66.96,34.85,56.1,67.79,135.5324,43.83,55.44
"10-06-2016",98.83,717.91,38.4,97.09,154.78,66.85,34.475,54.99,67.46,135.3382,43.03,52.73
"13-06-2016",97.34,715.24,37.86,96.96,153.08,66.55,34.185,54.4,66.88,133.1564,41.82,52.21
"14-06-2016",97.46,719.3,37.66,96.98,152.99,66.83,34.155,53.99,66.69,133.0362,41.78,52.66
"15-06-2016",97.14,714.26,37.43,97.02,151.9,66.24,34.08,53.57,65.87,132.8051,42.15,53.27
"16-06-2016",97.55,717.51,37.5,97.19,152.3,66.88,34.405,53.63,66.47,133.4615,42.05,53.71
"17-06-2016",95.33,706.39,37.39,95.58,149.62,67.21,34.395,53.42,66.42,132.4907,42.31,53.19
"20-06-2016",95.1,714.01,37.75,97.99,150.65,66.79,34.89,53.73,66.57,133.1656,42.45,54.14
"21-06-2016",95.91,715.82,37.73,99.72,149.42,66.77,35.275,53.79,66.8,132.3428,41.94,54.7
"22-06-2016",95.55,710.6,38.74,94.01,149.81,66.5,35.42,53.68,67.02,132.6664,42,54.7
"23-06-2016",96.1,722.08,39.63,96.21,152.27,66.59,35.885,54.71,67.86,134.9961,42.71,57.17
"24-06-2016",93.4,698.96,37.91,92.2,146.45,67.26,34.63,50.72,66.26,129.5416,40.5,53.35
"27-06-2016",92.04,691.36,36.95,90.85,144.58,68.35,33.665,48.79,66.06,124.6417,39.14,51.16
"28-06-2016",93.59,707.95,37.56,92.46,148.42,68.64,34.425,49.82,67.73,126.3983,40.56,53.05
"29-06-2016",94.4,715.6,38.57,94.39,150.1,68.72,35.04,51.46,68.47,128.7465,41.58,54.56
"30-06-2016",95.6,715.62,39.31,95.79,152.15,70.09,36.08,52.89,69.95,131.3166,42.89,55.93
"01-07-2016",95.89,725.68,39.54,95.32,154.28,70.14,36.25,52.87,69.56,130.2997,42.61,55.5
"04-07-2016",95.89,725.68,39.54,95.32,154.28,70.14,36.25,52.87,69.56,130.2997,42.61,55.5
"05-07-2016",94.99,728.1,39.44,94.73,154.27,70.81,35.75,51.21,69.31,128.0346,41.95,54.25
"06-07-2016",95.53,737.61,40.83,95.18,156.05,71.27,36.105,51.26,69.46,128.8389,42.12,54.96
"07-07-2016",95.94,736.57,41.36,95.14,156.59,70.28,35.71,51.82,68.94,129.1255,42.12,54.94
"08-07-2016",96.68,745.81,41.89,96.79,161.1,70.71,36.245,53.01,69.66,133.4522,43.48,56.38
"11-07-2016",96.98,753.78,42.12,97.14,160.18,70.7,36.33,53.29,69.94,133.9237,43.16,56.24
"12-07-2016",97.42,748.21,42.47,97.54,161.96,69.58,36.6,53.86,69.6,136.5493,43.29,56.16
"13-07-2016",96.87,742.63,41.97,97.34,160.52,70.01,36.64,53.81,69.28,136.7527,43.1,56.86
"14-07-2016",98.79,741.2,42.28,97.7,162.74,69.38,36.85,54.4,69.31,137.6587,43.48,57.43
"15-07-2016",98.78,735.44,42.1,97.83,163.28,69.64,36.68,54.44,69.49,138.0747,43.95,57.25
"18-07-2016",99.83,736.07,42.09,97.79,162.93,69.95,36.605,54.56,69.35,137.9268,44.25,57.47
"19-07-2016",99.87,739.95,41.8,97.79,162.49,69.77,36.605,54.46,69.12,138.1025,43.48,57.45
"20-07-2016",99.96,745.72,42.65,98.4,163.25,69.35,36.725,54.57,69.1,138.0747,43.39,57.83
"21-07-2016",99.43,744.43,43.04,96.34,164.19,69.43,36.665,54.29,68.89,137.104,43.39,57.2
"22-07-2016",98.66,744.86,43.17,98.06,165.67,70.06,36.745,54.62,69.2,137.4091,43.72,57.89
"25-07-2016",97.34,739.61,43.41,97.32,166.56,69.77,36.625,54.66,69.22,137.3074,43.6,57.9
"26-07-2016",96.67,735.59,43.6,97.91,167.67,69.74,36.845,54.69,69.04,138.537,43.87,58.09
"27-07-2016",102.95,736.67,43.67,97.93,170.68,68.86,36.68,54.62,68.86,137.7604,43.9,50.51
"28-07-2016",104.34,752.61,44.45,98.44,171.28,68.92,36.66,54.79,69.17,137.7419,44.94,50.69
"29-07-2016",104.21,758.81,44.75,97.86,172.03,69.3,36.14,54.44,68.33,138.1395,45.08,50.53
"01-08-2016",106.05,767.74,45.29,97.72,174.16,69.31,35.79,54.21,68.39,137.8898,44.24,50.6
"02-08-2016",104.48,760.58,45.07,96.05,174.15,69.01,35.81,54.14,68.11,137.0393,43.45,49.96
"03-08-2016",105.79,754.64,44.95,96.67,173.43,68.45,35.985,58.1,68.63,137.0208,43.93,49.44
"04-08-2016",105.87,760.77,44.81,97.09,172.67,68.64,35.98,57.61,68.62,137.7512,43.74,49.43
"05-08-2016",107.48,765.98,45.26,99.04,173.66,67.85,36.535,59.1,68.84,137.9453,44.45,50.66
"08-08-2016",108.37,766.56,45.02,98.49,172.34,67.15,36.54,59.39,69.17,137.5293,44.52,50.21
"09-08-2016",108.81,768.31,45.08,98.87,172.08,67.39,36.555,59.27,69.37,137.8436,44.38,50.22
"10-08-2016",108,768.56,44.81,100.62,171.23,67.56,36.585,59,69.42,137.7789,44.31,52.02
"11-08-2016",107.93,771.24,45.05,101.67,172.43,67.72,36.535,59.18,69.11,137.7974,43.93,51.41
